frame,time_s,coarse_min,coarse_max,coarse_mean,coarse_nonzero_pct,fine_min,fine_max,fine_mean,fine_nonzero_pct,plume_inflow_avg,plume_mid_avg,plume_wake_avg,total_smoke_mass
0,0.0000,0.0000,1.0000,0.131998,63.08,0.0000,1.0000,0.131998,64.17,1.0000,0.4266,0.2542,2639.97
1,0.0167,0.0000,1.0000,0.132292,63.14,0.0000,1.0000,0.132292,64.20,1.0000,0.4279,0.2536,2645.85
2,0.0333,0.0000,1.0000,0.132584,63.26,0.0000,1.0000,0.132584,64.24,1.0000,0.4295,0.2528,2651.67
3,0.0500,0.0000,1.0000,0.132863,63.30,0.0000,1.0000,0.132863,64.30,1.0000,0.4312,0.2520,2657.25
4,0.0667,0.0000,1.0000,0.133119,63.38,0.0000,1.0000,0.133119,64.37,1.0000,0.4329,0.2511,2662.37
5,0.0833,0.0000,1.0000,0.133343,63.40,0.0000,1.0000,0.133343,64.45,1.0000,0.4343,0.2502,2666.85
6,0.1000,0.0000,1.0000,0.133528,63.46,0.0000,1.0000,0.133528,64.53,1.0000,0.4354,0.2493,2670.56
7,0.1167,0.0000,1.0000,0.133673,63.50,0.0000,1.0000,0.133673,64.61,1.0000,0.4360,0.2483,2673.45
8,0.1333,0.0000,1.0000,0.133782,63.60,0.0000,1.0000,0.133782,64.69,1.0000,0.4363,0.2472,2675.65
9,0.1500,0.0000,1.0000,0.133867,63.72,0.0000,1.0000,0.133867,64.77,1.0000,0.4363,0.2460,2677.34
10,0.1667,0.0000,1.0000,0.133939,63.78,0.0000,1.0000,0.133939,64.84,1.0000,0.4359,0.2447,2678.79
11,0.1833,0.0000,1.0000,0.134013,63.82,0.0000,1.0000,0.134013,64.89,1.0000,0.4355,0.2433,2680.25
12,0.2000,0.0000,1.0000,0.134098,63.86,0.0000,1.0000,0.134098,64.94,1.0000,0.4350,0.2419,2681.96
13,0.2167,0.0000,1.0000,0.134201,63.90,0.0000,1.0000,0.134201,64.96,1.0000,0.4345,0.2403,2684.02
14,0.2333,0.0000,1.0000,0.134321,63.94,0.0000,1.0000,0.134321,65.00,1.0000,0.4342,0.2387,2686.42
15,0.2500,0.0000,1.0000,0.134457,63.98,0.0000,1.0000,0.134457,65.04,1.0000,0.4340,0.2370,2689.15
16,0.2667,0.0000,1.0000,0.134610,64.02,0.0000,1.0000,0.134610,65.08,1.0000,0.4339,0.2353,2692.19
17,0.2833,0.0000,1.0000,0.134779,64.04,0.0000,1.0000,0.134779,65.10,1.0000,0.4342,0.2336,2695.57
18,0.3000,0.0000,1.0000,0.134962,64.04,0.0000,1.0000,0.134962,65.12,1.0000,0.4347,0.2318,2699.25
19,0.3167,0.0000,1.0000,0.135153,64.04,0.0000,1.0000,0.135153,65.12,1.0000,0.4355,0.2301,2703.05
20,0.3333,0.0000,1.0000,0.135341,64.08,0.0000,1.0000,0.135340,65.13,1.0000,0.4367,0.2283,2706.81
21,0.3500,0.0000,1.0000,0.135516,64.12,0.0000,1.0000,0.135516,65.14,1.0000,0.4381,0.2266,2710.33
22,0.3667,0.0000,1.0000,0.135669,64.12,0.0000,1.0000,0.135669,65.14,1.0000,0.4398,0.2249,2713.39
23,0.3833,0.0000,1.0000,0.135789,64.12,0.0000,1.0000,0.135789,65.14,1.0000,0.4415,0.2233,2715.78
24,0.4000,0.0000,1.0000,0.135864,64.12,0.0000,1.0000,0.135864,65.15,1.0000,0.4432,0.2218,2717.27
25,0.4167,0.0000,1.0000,0.135886,64.10,0.0000,1.0000,0.135886,65.12,1.0000,0.4446,0.2204,2717.72
26,0.4333,0.0000,1.0000,0.135855,64.10,0.0000,1.0000,0.135855,65.11,1.0000,0.4456,0.2191,2717.10
27,0.4500,0.0000,1.0000,0.135774,64.10,0.0000,1.0000,0.135774,65.09,1.0000,0.4462,0.2179,2715.49
28,0.4667,0.0000,1.0000,0.135655,64.14,0.0000,1.0000,0.135655,65.11,1.0000,0.4464,0.2169,2713.09
29,0.4833,0.0000,1.0000,0.135508,64.16,0.0000,1.0000,0.135508,65.12,1.0000,0.4463,0.2160,2710.16
30,0.5000,0.0000,1.0000,0.135349,64.20,0.0000,1.0000,0.135349,65.15,1.0000,0.4458,0.2153,2706.98
31,0.5167,0.0000,1.0000,0.135190,64.24,0.0000,1.0000,0.135190,65.18,1.0000,0.4452,0.2147,2703.80
32,0.5333,0.0000,1.0000,0.135042,64.26,0.0000,1.0000,0.135042,65.21,1.0000,0.4446,0.2143,2700.83
33,0.5500,0.0000,1.0000,0.134909,64.32,0.0000,1.0000,0.134909,65.25,1.0000,0.4440,0.2140,2698.18
34,0.5667,0.0000,1.0000,0.134792,64.36,0.0000,1.0000,0.134792,65.30,1.0000,0.4434,0.2138,2695.85
35,0.5833,0.0000,1.0000,0.134691,64.42,0.0000,1.0000,0.134691,65.35,1.0000,0.4431,0.2138,2693.81
36,0.6000,0.0000,1.0000,0.134603,64.44,0.0000,1.0000,0.134603,65.38,1.0000,0.4429,0.2138,2692.06
37,0.6167,0.0000,1.0000,0.134533,64.46,0.0000,1.0000,0.134533,65.40,1.0000,0.4430,0.2139,2690.67
38,0.6333,0.0000,1.0000,0.134487,64.46,0.0000,1.0000,0.134487,65.44,1.0000,0.4433,0.2141,2689.75
39,0.6500,0.0000,1.0000,0.134465,64.46,0.0000,1.0000,0.134465,65.45,1.0000,0.4440,0.2144,2689.31
40,0.6667,0.0000,1.0000,0.134463,64.44,0.0000,1.0000,0.134463,65.46,1.0000,0.4450,0.2147,2689.26
41,0.6833,0.0000,1.0000,0.134475,64.44,0.0000,1.0000,0.134475,65.48,1.0000,0.4463,0.2151,2689.50
42,0.7000,0.0000,1.0000,0.134498,64.44,0.0000,1.0000,0.134498,65.50,1.0000,0.4479,0.2156,2689.97
43,0.7167,0.0000,1.0000,0.134534,64.44,0.0000,1.0000,0.134534,65.52,1.0000,0.4495,0.2162,2690.68
44,0.7333,0.0000,1.0000,0.134582,64.44,0.0000,1.0000,0.134582,65.53,1.0000,0.4511,0.2168,2691.65
45,0.7500,0.0000,1.0000,0.134644,64.44,0.0000,1.0000,0.134644,65.56,1.0000,0.4525,0.2175,2692.89
46,0.7667,0.0000,1.0000,0.134719,64.48,0.0000,1.0000,0.134719,65.59,1.0000,0.4536,0.2183,2694.38
47,0.7833,0.0000,1.0000,0.134803,64.56,0.0000,1.0000,0.134803,65.62,1.0000,0.4543,0.2192,2696.05
48,0.8000,0.0000,1.0000,0.134891,64.62,0.0000,1.0000,0.134891,65.69,1.0000,0.4546,0.2202,2697.82
49,0.8167,0.0000,1.0000,0.134980,64.68,0.0000,1.0000,0.134980,65.78,1.0000,0.4545,0.2213,2699.60
50,0.8333,0.0000,1.0000,0.135068,64.78,0.0000,1.0000,0.135068,65.86,1.0000,0.4540,0.2224,2701.36
51,0.8500,0.0000,1.0000,0.135154,64.86,0.0000,1.0000,0.135154,65.94,1.0000,0.4534,0.2236,2703.09
52,0.8667,0.0000,1.0000,0.135240,64.96,0.0000,1.0000,0.135240,66.02,1.0000,0.4526,0.2249,2704.79
53,0.8833,0.0000,1.0000,0.135328,65.02,0.0000,1.0000,0.135328,66.11,1.0000,0.4518,0.2263,2706.55
54,0.9000,0.0000,1.0000,0.135421,65.08,0.0000,1.0000,0.135421,66.21,1.0000,0.4511,0.2278,2708.42
55,0.9167,0.0000,1.0000,0.135521,65.16,0.0000,1.0000,0.135521,66.27,1.0000,0.4506,0.2293,2710.42
56,0.9333,0.0000,1.0000,0.135630,65.24,0.0000,1.0000,0.135630,66.33,1.0000,0.4502,0.2309,2712.61
57,0.9500,0.0000,1.0000,0.135749,65.32,0.0000,1.0000,0.135749,66.35,1.0000,0.4501,0.2326,2714.98
58,0.9667,0.0000,1.0000,0.135875,65.40,0.0000,1.0000,0.135875,66.36,1.0000,0.4503,0.2343,2717.50
59,0.9833,0.0000,1.0000,0.136007,65.46,0.0000,1.0000,0.136007,66.37,1.0000,0.4508,0.2361,2720.15
60,1.0000,0.0000,1.0000,0.136142,65.56,0.0000,1.0000,0.136142,66.37,1.0000,0.4516,0.2379,2722.85
61,1.0167,0.0000,1.0000,0.136277,65.68,0.0000,1.0000,0.136277,66.38,1.0000,0.4527,0.2398,2725.54
62,1.0333,0.0000,1.0000,0.136408,65.78,0.0000,1.0000,0.136408,66.39,1.0000,0.4541,0.2417,2728.16
63,1.0500,0.0000,1.0000,0.136531,65.90,0.0000,1.0000,0.136531,66.39,1.0000,0.4556,0.2436,2730.62
64,1.0667,0.0000,1.0000,0.136643,66.00,0.0000,1.0000,0.136643,66.40,1.0000,0.4572,0.2455,2732.87
65,1.0833,0.0000,1.0000,0.136743,66.10,0.0000,1.0000,0.136743,66.41,1.0000,0.4586,0.2474,2734.85
66,1.1000,0.0000,1.0000,0.136827,66.14,0.0000,1.0000,0.136827,66.41,1.0000,0.4597,0.2493,2736.54
67,1.1167,0.0000,1.0000,0.136895,66.12,0.0000,1.0000,0.136895,66.42,1.0000,0.4606,0.2512,2737.89
68,1.1333,0.0000,1.0000,0.136943,66.08,0.0000,1.0000,0.136943,66.42,1.0000,0.4610,0.2531,2738.86
69,1.1500,0.0000,1.0000,0.136973,66.08,0.0000,1.0000,0.136973,66.42,1.0000,0.4611,0.2549,2739.45
70,1.1667,0.0000,1.0000,0.136984,66.04,0.0000,1.0000,0.136984,66.42,1.0000,0.4608,0.2567,2739.69
71,1.1833,0.0000,1.0000,0.136982,65.98,0.0000,1.0000,0.136982,66.44,1.0000,0.4602,0.2585,2739.65
72,1.2000,0.0000,1.0000,0.136971,65.96,0.0000,1.0000,0.136971,66.44,1.0000,0.4595,0.2602,2739.42
73,1.2167,0.0000,1.0000,0.136954,66.00,0.0000,1.0000,0.136954,66.44,1.0000,0.4588,0.2619,2739.09
